SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
17,Kapilbastu,Bijayanagar Rural Municipality,Dalit Female Ward Member,3,37,F,Communist Party of Nepal (UML),361,Elected
18,Kapilbastu,Bijayanagar Rural Municipality,Ward President,4,37,M,Independent,335,Elected
19,Kapilbastu,Bijayanagar Rural Municipality,Ward Member,4,47,M,Communist Party of Nepal (UML),331,Elected
20,Kapilbastu,Bijayanagar Rural Municipality,Ward Member,4,47,M,Communist Party of Nepal (UML),284,Elected
21,Kapilbastu,Bijayanagar Rural Municipality,Female Ward Member,4,56,F,Communist Party of Nepal (UML),328,Elected
22,Kapilbastu,Bijayanagar Rural Municipality,Dalit Female Ward Member,4,56,F,Independent,306,Elected
23,Kapilbastu,Bijayanagar Rural Municipality,Ward President,5,31,M,Independent,361,Elected
24,Kapilbastu,Bijayanagar Rural Municipality,Ward Member,5,30,M,Nepali Congress,347,Elected
25,Kapilbastu,Bijayanagar Rural Municipality,Ward Member,5,61,M,Nepali Congress,292,Elected
26,Kapilbastu,Bijayanagar Rural Municipality,Female Ward Member,5,30,F,Nepali Congress,262,Elected
27,Kapilbastu,Bijayanagar Rural Municipality,Dalit Female Ward Member,5,61,F,Nepali Congress,264,Elected
28,Kapilbastu,Bijayanagar Rural Municipality,Ward President,6,38,M,Communist Party of Nepal (UML),504,Elected
29,Kapilbastu,Bijayanagar Rural Municipality,Ward Member,6,38,M,Communist Party of Nepal (UML),501,Elected
30,Kapilbastu,Bijayanagar Rural Municipality,Ward Member,6,41,M,Communist Party of Nepal (UML),490,Elected
31,Kapilbastu,Bijayanagar Rural Municipality,Female Ward Member,6,46,F,Communist Party of Nepal (UML),523,Elected
32,Kapilbastu,Bijayanagar Rural Municipality,Dalit Female Ward Member,6,66,F,Communist Party of Nepal (UML),521,Elected
33,Kapilbastu,Bijayanagar Rural Municipality,Ward President,7,33,M,Communist Party of Nepal (UML),491,Elected
34,Kapilbastu,Bijayanagar Rural Municipality,Ward Member,7,55,M,Nepali Congress,236,Elected
35,Kapilbastu,Bijayanagar Rural Municipality,Ward Member,7,31,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",230,Elected
36,Kapilbastu,Bijayanagar Rural Municipality,Female Ward Member,7,58,F,Sanghiya Samajbadi Forum-Nepal (SSFN),232,Elected
37,Kapilbastu,Bijayanagar Rural Municipality,Dalit Female Ward Member,7,46,F,Sanghiya Samajbadi Forum-Nepal (SSFN),275,Elected
1,Kapilbastu,Shivaraj Urban Municipality,Mayor,  ,63,M,Communist Party of Nepal (UML),6155,Elected
2,Kapilbastu,Shivaraj Urban Municipality,Vice-Mayor,  ,24,F,Communist Party of Nepal (UML),5962,Elected
3,Kapilbastu,Shivaraj Urban Municipality,Ward President,1,64,M,Communist Party of Nepal (UML),1502,Elected
4,Kapilbastu,Shivaraj Urban Municipality,Ward Member,1,38,M,Communist Party of Nepal (UML),1506,Elected
5,Kapilbastu,Shivaraj Urban Municipality,Ward Member,1,54,M,Communist Party of Nepal (UML),1477,Elected
6,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,1,39,F,Communist Party of Nepal (UML),1534,Elected
7,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,1,41,F,Communist Party of Nepal (UML),1554,Elected
8,Kapilbastu,Shivaraj Urban Municipality,Ward President,2,44,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",598,Elected
9,Kapilbastu,Shivaraj Urban Municipality,Ward Member,2,37,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",592,Elected
10,Kapilbastu,Shivaraj Urban Municipality,Ward Member,2,36,M,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",552,Elected
11,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,2,45,F,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",596,Elected
12,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,2,62,F,"Madheshi Jana Adhikar Forum, Nepal (Democratic)",593,Elected
13,Kapilbastu,Shivaraj Urban Municipality,Ward President,3,39,M,Communist Party of Nepal (UML),869,Elected
14,Kapilbastu,Shivaraj Urban Municipality,Ward Member,3,51,M,Communist Party of Nepal (UML),968,Elected
15,Kapilbastu,Shivaraj Urban Municipality,Ward Member,3,50,M,Communist Party of Nepal (UML),958,Elected
16,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,3,26,F,Communist Party of Nepal (UML),917,Elected
17,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,3,45,F,Communist Party of Nepal (UML),938,Elected
18,Kapilbastu,Shivaraj Urban Municipality,Ward President,4,47,M,Communist Party of Nepal (UML),475,Elected
19,Kapilbastu,Shivaraj Urban Municipality,Ward Member,4,50,M,Communist Party of Nepal (UML),625,Elected
20,Kapilbastu,Shivaraj Urban Municipality,Ward Member,4,38,M,Communist Party of Nepal (UML),550,Elected
21,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,4,52,F,Communist Party of Nepal (UML),515,Elected
22,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,4,48,F,Communist Party of Nepal (UML),494,Elected
23,Kapilbastu,Shivaraj Urban Municipality,Ward President,5,57,M,Communist Party of Nepal (UML),929,Elected
24,Kapilbastu,Shivaraj Urban Municipality,Ward Member,5,49,M,Communist Party of Nepal (UML),1049,Elected
25,Kapilbastu,Shivaraj Urban Municipality,Ward Member,5,48,M,Communist Party of Nepal (UML),988,Elected
26,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,5,62,F,Communist Party of Nepal (UML),1035,Elected
27,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,5,30,F,Communist Party of Nepal (UML),1015,Elected
28,Kapilbastu,Shivaraj Urban Municipality,Ward President,6,56,M,Sanghiya Samajbadi Forum-Nepal (SSFN),531,Elected
29,Kapilbastu,Shivaraj Urban Municipality,Ward Member,6,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),539,Elected
30,Kapilbastu,Shivaraj Urban Municipality,Ward Member,6,25,M,Sanghiya Samajbadi Forum-Nepal (SSFN),342,Elected
31,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,6,44,F,Sanghiya Samajbadi Forum-Nepal (SSFN),514,Elected
32,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,6,24,F,Sanghiya Samajbadi Forum-Nepal (SSFN),571,Elected
33,Kapilbastu,Shivaraj Urban Municipality,Ward President,7,30,M,Independent,324,Elected
34,Kapilbastu,Shivaraj Urban Municipality,Ward Member,7,50,M,Nepali Congress,267,Elected
35,Kapilbastu,Shivaraj Urban Municipality,Ward Member,7,69,M,Nepali Congress,262,Elected
36,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,7,46,F,Nepali Congress,267,Elected
37,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,7,39,F,Nepali Congress,269,Elected
38,Kapilbastu,Shivaraj Urban Municipality,Ward President,8,51,M,Sanghiya Samajbadi Forum-Nepal (SSFN),410,Elected
39,Kapilbastu,Shivaraj Urban Municipality,Ward Member,8,39,M,Sanghiya Samajbadi Forum-Nepal (SSFN),342,Elected
40,Kapilbastu,Shivaraj Urban Municipality,Ward Member,8,35,M,Communist Party of Nepal (UML),321,Elected
41,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,8,54,F,Sanghiya Samajbadi Forum-Nepal (SSFN),368,Elected
42,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,8,32,F,Sanghiya Samajbadi Forum-Nepal (SSFN),344,Elected
43,Kapilbastu,Shivaraj Urban Municipality,Ward President,9,48,M,Communist Party of Nepal (Maoist Centre),780,Elected
44,Kapilbastu,Shivaraj Urban Municipality,Ward Member,9,38,M,Communist Party of Nepal (Maoist Centre),719,Elected
45,Kapilbastu,Shivaraj Urban Municipality,Ward Member,9,36,M,Communist Party of Nepal (Maoist Centre),713,Elected
46,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,9,46,F,Communist Party of Nepal (Maoist Centre),706,Elected
47,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,9,29,F,Communist Party of Nepal (Maoist Centre),714,Elected
48,Kapilbastu,Shivaraj Urban Municipality,Ward President,10,74,F,Independent,319,Elected
49,Kapilbastu,Shivaraj Urban Municipality,Ward Member,10,31,M,Independent,206,Elected
50,Kapilbastu,Shivaraj Urban Municipality,Ward Member,10,48,M,Sanghiya Samajbadi Forum-Nepal (SSFN),175,Elected
51,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,10,51,F,Nepali Congress,191,Elected
52,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,10,35,F,Independent,184,Elected
53,Kapilbastu,Shivaraj Urban Municipality,Ward President,11,48,M,Nepali Congress,410,Elected
54,Kapilbastu,Shivaraj Urban Municipality,Ward Member,11,53,M,Nepali Congress,459,Elected
55,Kapilbastu,Shivaraj Urban Municipality,Ward Member,11,53,M,Communist Party of Nepal (UML),449,Elected
56,Kapilbastu,Shivaraj Urban Municipality,Female Ward Member,11,41,F,Nepali Congress,479,Elected
57,Kapilbastu,Shivaraj Urban Municipality,Dalit Female Ward Member,11,41,F,Nepali Congress,466,Elected
1,Kapilbastu,Shuddhodhan Rural Municipality,Mayor,  ,51,M,Independent,1837,Elected
2,Kapilbastu,Shuddhodhan Rural Municipality,Vice-Mayor,  ,51,F,Nepali Congress,2635,Elected
3,Kapilbastu,Shuddhodhan Rural Municipality,Ward President,1,62,M,Nepali Congress,983,Elected
4,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,1,65,M,Nepali Congress,821,Elected
5,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,1,53,M,Nepali Congress,683,Elected
6,Kapilbastu,Shuddhodhan Rural Municipality,Female Ward Member,1,47,F,Nepali Congress,823,Elected
7,Kapilbastu,Shuddhodhan Rural Municipality,Dalit Female Ward Member,1,54,F,Nepali Congress,813,Elected
8,Kapilbastu,Shuddhodhan Rural Municipality,Ward President,2,31,M,Sanghiya Samajbadi Forum-Nepal (SSFN),644,Elected
9,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,2,53,M,Sanghiya Samajbadi Forum-Nepal (SSFN),520,Elected
10,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,2,24,M,Sanghiya Samajbadi Forum-Nepal (SSFN),443,Elected
11,Kapilbastu,Shuddhodhan Rural Municipality,Female Ward Member,2,36,F,Sanghiya Samajbadi Forum-Nepal (SSFN),545,Elected
12,Kapilbastu,Shuddhodhan Rural Municipality,Dalit Female Ward Member,2,49,F,Sanghiya Samajbadi Forum-Nepal (SSFN),494,Elected
13,Kapilbastu,Shuddhodhan Rural Municipality,Ward President,3,31,M,Rastriya Prajatantra Party,472,Elected
14,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,3,50,M,Rastriya Prajatantra Party,458,Elected
15,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,3,52,M,Rastriya Prajatantra Party,310,Elected
16,Kapilbastu,Shuddhodhan Rural Municipality,Female Ward Member,3,36,F,Rastriya Prajatantra Party,406,Elected
17,Kapilbastu,Shuddhodhan Rural Municipality,Dalit Female Ward Member,3,66,F,Rastriya Prajatantra Party,426,Elected
18,Kapilbastu,Shuddhodhan Rural Municipality,Ward President,4,40,M,Nepali Congress,280,Elected
19,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,4,57,M,Nepali Congress,282,Elected
20,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,4,51,M,Nepali Congress,273,Elected
21,Kapilbastu,Shuddhodhan Rural Municipality,Female Ward Member,4,50,F,Nepali Congress,282,Elected
22,Kapilbastu,Shuddhodhan Rural Municipality,Dalit Female Ward Member,4,44,F,Nepali Congress,291,Elected
23,Kapilbastu,Shuddhodhan Rural Municipality,Ward President,5,35,M,Independent,957,Elected
24,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,5,38,M,Independent,605,Elected
25,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,5,35,M,Independent,557,Elected
26,Kapilbastu,Shuddhodhan Rural Municipality,Female Ward Member,5,61,F,Independent,686,Elected
27,Kapilbastu,Shuddhodhan Rural Municipality,Dalit Female Ward Member,5,45,F,Independent,654,Elected
28,Kapilbastu,Shuddhodhan Rural Municipality,Ward President,6,27,M,Independent,663,Elected
29,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,6,42,M,Sanghiya Samajbadi Forum-Nepal (SSFN),425,Elected
30,Kapilbastu,Shuddhodhan Rural Municipality,Ward Member,6,61,M,Nepali Congress,314,Elected
31,Kapilbastu,Shuddhodhan Rural Municipality,Female Ward Member,6,45,F,Sanghiya Samajbadi Forum-Nepal (SSFN),396,Elected
32,Kapilbastu,Shuddhodhan Rural Municipality,Dalit Female Ward Member,6,61,F,Sanghiya Samajbadi Forum-Nepal (SSFN),371,Elected
1,Rukum (East),Putha Uttanganga Rural Municipality,Mayor,  ,64,M,Communist Party of Nepal (Maoist Centre),2551,Elected
2,Rukum (East),Putha Uttanganga Rural Municipality,Vice-Mayor,  ,32,F,Communist Party of Nepal (Maoist Centre),2635,Elected
3,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,1,46,M,Communist Party of Nepal (Maoist Centre),236,Elected
4,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,1,37,M,Communist Party of Nepal (Maoist Centre),234,Elected
5,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,1,64,M,Communist Party of Nepal (Maoist Centre),234,Elected
6,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,1,35,F,Communist Party of Nepal (Maoist Centre),236,Elected
7,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,1,29,F,Communist Party of Nepal (Maoist Centre),238,Elected
8,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,2,48,M,Communist Party of Nepal (Maoist Centre),142,Elected
9,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,2,31,M,Communist Party of Nepal (Maoist Centre),142,Elected
10,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,2,40,M,Communist Party of Nepal (Maoist Centre),141,Elected
11,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,2,29,F,Communist Party of Nepal (Maoist Centre),140,Elected
12,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,2,32,F,Communist Party of Nepal (Maoist Centre),143,Elected
13,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,3,40,M,Communist Party of Nepal (Maoist Centre),93,Elected
14,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,3,36,M,Communist Party of Nepal (Maoist Centre),93,Elected
15,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,3,32,M,Communist Party of Nepal (Maoist Centre),91,Elected
16,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,3,45,F,Communist Party of Nepal (Maoist Centre),93,Elected
17,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,3,35,F,Communist Party of Nepal (Maoist Centre),91,Elected
18,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,4,48,M,Communist Party of Nepal (Maoist Centre),66,Elected
19,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,4,49,M,Communist Party of Nepal (Maoist Centre),65,Elected
20,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,4,35,M,Communist Party of Nepal (Maoist Centre),64,Elected
21,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,4,49,F,Communist Party of Nepal (Maoist Centre),64,Elected
22,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,4,53,F,Communist Party of Nepal (Maoist Centre),66,Elected
23,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,5,45,M,Communist Party of Nepal (Maoist Centre),297,Elected
24,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,5,41,M,Communist Party of Nepal (Maoist Centre),301,Elected
25,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,5,33,M,Communist Party of Nepal (Maoist Centre),296,Elected
26,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,5,47,F,Communist Party of Nepal (Maoist Centre),298,Elected
27,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,5,48,F,Communist Party of Nepal (Maoist Centre),296,Elected
28,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,6,40,M,Communist Party of Nepal (Maoist Centre),133,Elected
29,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,6,43,M,Communist Party of Nepal (Maoist Centre),132,Elected
30,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,6,42,M,Communist Party of Nepal (Maoist Centre),130,Elected
31,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,6,28,F,Communist Party of Nepal (Maoist Centre),132,Elected
32,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,6,29,F,Communist Party of Nepal (Maoist Centre),0,Unopposed
33,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,7,55,M,Nepali Congress,151,Elected
34,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,7,50,M,Nepali Congress,150,Elected
35,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,7,46,M,Nepali Congress,145,Elected
36,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,7,56,F,Nepali Congress,153,Elected
37,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,7,31,F,Nepali Congress,153,Elected
38,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,8,40,M,Communist Party of Nepal (Maoist Centre),205,Elected
39,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,8,31,M,Communist Party of Nepal (Maoist Centre),192,Elected
40,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,8,40,M,Communist Party of Nepal (Maoist Centre),190,Elected
41,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,8,30,F,Communist Party of Nepal (Maoist Centre),200,Elected
42,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,8,36,F,Communist Party of Nepal (Maoist Centre),207,Elected
43,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,9,63,M,Nepali Congress,99,Elected
44,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,9,42,M,Nepali Congress,99,Elected
45,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,9,53,M,Nepali Congress,98,Elected
46,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,9,34,F,Nepali Congress,101,Elected
47,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,9,35,F,Nepali Congress,99,Elected
48,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,10,47,M,Communist Party of Nepal (UML),196,Elected
49,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,10,36,M,Communist Party of Nepal (UML),201,Elected
50,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,10,50,M,Nepali Congress,191,Elected
51,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,10,36,F,Communist Party of Nepal (UML),203,Elected
52,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,10,29,F,Communist Party of Nepal (UML),204,Elected
53,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,11,34,M,Communist Party of Nepal (Maoist Centre),227,Elected
54,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,11,67,M,Communist Party of Nepal (Maoist Centre),231,Elected
55,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,11,33,M,Communist Party of Nepal (Maoist Centre),228,Elected
56,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,11,44,F,Communist Party of Nepal (Maoist Centre),227,Elected
57,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,11,31,F,Communist Party of Nepal (Maoist Centre),232,Elected
58,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,12,29,M,Communist Party of Nepal (Maoist Centre),524,Elected
59,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,12,48,M,Communist Party of Nepal (Maoist Centre),526,Elected
60,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,12,38,M,Communist Party of Nepal (Maoist Centre),515,Elected
61,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,12,43,F,Communist Party of Nepal (Maoist Centre),520,Elected
62,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,12,27,F,Communist Party of Nepal (Maoist Centre),523,Elected
63,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,13,34,M,Communist Party of Nepal (Maoist Centre),164,Elected
64,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,13,26,M,Communist Party of Nepal (Maoist Centre),165,Elected
65,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,13,44,M,Communist Party of Nepal (Maoist Centre),163,Elected
66,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,13,40,F,Communist Party of Nepal (Maoist Centre),163,Elected
67,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,13,44,F,Communist Party of Nepal (Maoist Centre),164,Elected
68,Rukum (East),Putha Uttanganga Rural Municipality,Ward President,14,37,M,Communist Party of Nepal (UML),332,Elected
69,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,14,37,M,Communist Party of Nepal (UML),340,Elected
70,Rukum (East),Putha Uttanganga Rural Municipality,Ward Member,14,33,M,Communist Party of Nepal (UML),327,Elected
71,Rukum (East),Putha Uttanganga Rural Municipality,Female Ward Member,14,28,F,Communist Party of Nepal (UML),336,Elected
72,Rukum (East),Putha Uttanganga Rural Municipality,Dalit Female Ward Member,14,41,F,Communist Party of Nepal (UML),336,Elected
1,Rukum (East),Bhoome Rural Municipality,Mayor,  ,49,M,Communist Party of Nepal (Maoist Centre),3482,Elected
2,Rukum (East),Bhoome Rural Municipality,Vice-Mayor,  ,40,F,Communist Party of Nepal (Maoist Centre),3494,Elected
3,Rukum (East),Bhoome Rural Municipality,Ward President,1,53,M,Communist Party of Nepal (Maoist Centre),300,Elected
4,Rukum (East),Bhoome Rural Municipality,Ward Member,1,47,M,Communist Party of Nepal (Maoist Centre),298,Elected
5,Rukum (East),Bhoome Rural Municipality,Ward Member,1,28,M,Communist Party of Nepal (Maoist Centre),297,Elected
6,Rukum (East),Bhoome Rural Municipality,Female Ward Member,1,39,F,Communist Party of Nepal (Maoist Centre),300,Elected
7,Rukum (East),Bhoome Rural Municipality,Dalit Female Ward Member,1,34,F,Communist Party of Nepal (Maoist Centre),297,Elected
8,Rukum (East),Bhoome Rural Municipality,Ward President,2,62,M,Communist Party of Nepal (Maoist Centre),443,Elected
9,Rukum (East),Bhoome Rural Municipality,Ward Member,2,33,M,Communist Party of Nepal (Maoist Centre),452,Elected
10,Rukum (East),Bhoome Rural Municipality,Ward Member,2,35,M,Communist Party of Nepal (Maoist Centre),442,Elected
11,Rukum (East),Bhoome Rural Municipality,Female Ward Member,2,25,F,Communist Party of Nepal (Maoist Centre),450,Elected
12,Rukum (East),Bhoome Rural Municipality,Dalit Female Ward Member,2,51,F,Communist Party of Nepal (Maoist Centre),452,Elected
13,Rukum (East),Bhoome Rural Municipality,Ward President,3,45,M,Communist Party of Nepal (Maoist Centre),423,Elected
14,Rukum (East),Bhoome Rural Municipality,Ward Member,3,54,M,Communist Party of Nepal (Maoist Centre),434,Elected
15,Rukum (East),Bhoome Rural Municipality,Ward Member,3,59,M,Communist Party of Nepal (Maoist Centre),420,Elected
16,Rukum (East),Bhoome Rural Municipality,Female Ward Member,3,51,F,Communist Party of Nepal (Maoist Centre),447,Elected
17,Rukum (East),Bhoome Rural Municipality,Dalit Female Ward Member,3,27,F,Communist Party of Nepal (Maoist Centre),444,Elected
18,Rukum (East),Bhoome Rural Municipality,Ward President,4,45,M,Nepali Congress,240,Elected
19,Rukum (East),Bhoome Rural Municipality,Ward Member,4,46,M,Nepali Congress,242,Elected
20,Rukum (East),Bhoome Rural Municipality,Ward Member,4,26,M,Nepali Congress,239,Elected
21,Rukum (East),Bhoome Rural Municipality,Female Ward Member,4,44,F,Nepali Congress,237,Elected
22,Rukum (East),Bhoome Rural Municipality,Dalit Female Ward Member,4,55,F,Nepali Congress,243,Elected
23,Rukum (East),Bhoome Rural Municipality,Ward President,5,31,M,Communist Party of Nepal (Maoist Centre),224,Elected
24,Rukum (East),Bhoome Rural Municipality,Ward Member,5,36,M,Communist Party of Nepal (Maoist Centre),227,Elected
25,Rukum (East),Bhoome Rural Municipality,Ward Member,5,43,M,Communist Party of Nepal (Maoist Centre),225,Elected
26,Rukum (East),Bhoome Rural Municipality,Female Ward Member,5,58,F,Communist Party of Nepal (Maoist Centre),227,Elected
27,Rukum (East),Bhoome Rural Municipality,Dalit Female Ward Member,5,38,F,Communist Party of Nepal (Maoist Centre),224,Elected
28,Rukum (East),Bhoome Rural Municipality,Ward President,6,56,M,Communist Party of Nepal (Maoist Centre),393,Elected
29,Rukum (East),Bhoome Rural Municipality,Ward Member,6,47,M,Communist Party of Nepal (Maoist Centre),397,Elected
30,Rukum (East),Bhoome Rural Municipality,Ward Member,6,49,M,Communist Party of Nepal (Maoist Centre),390,Elected
31,Rukum (East),Bhoome Rural Municipality,Female Ward Member,6,31,F,Communist Party of Nepal (Maoist Centre),399,Elected
32,Rukum (East),Bhoome Rural Municipality,Dalit Female Ward Member,6,28,F,Communist Party of Nepal (Maoist Centre),0,Unopposed
33,Rukum (East),Bhoome Rural Municipality,Ward President,7,46,M,Communist Party of Nepal (Maoist Centre),383,Elected
34,Rukum (East),Bhoome Rural Municipality,Ward Member,7,44,M,Communist Party of Nepal (Maoist Centre),0,Unopposed
35,Rukum (East),Bhoome Rural Municipality,Ward Member,7,60,M,Communist Party of Nepal (Maoist Centre),0,Unopposed
36,Rukum (East),Bhoome Rural Municipality,Female Ward Member,7,39,F,Communist Party of Nepal (Maoist Centre),0,Unopposed
37,Rukum (East),Bhoome Rural Municipality,Dalit Female Ward Member,7,38,F,Communist Party of Nepal (Maoist Centre),0,Unopposed
38,Rukum (East),Bhoome Rural Municipality,Ward President,8,47,M,Communist Party of Nepal (Maoist Centre),345,Elected
39,Rukum (East),Bhoome Rural Municipality,Ward Member,8,39,M,Communist Party of Nepal (Maoist Centre),341,Elected
40,Rukum (East),Bhoome Rural Municipality,Ward Member,8,46,M,Communist Party of Nepal (Maoist Centre),335,Elected
41,Rukum (East),Bhoome Rural Municipality,Female Ward Member,8,41,F,Communist Party of Nepal (Maoist Centre),340,Elected
42,Rukum (East),Bhoome Rural Municipality,Dalit Female Ward Member,8,49,F,Communist Party of Nepal (Maoist Centre),340,Elected
43,Rukum (East),Bhoome Rural Municipality,Ward President,9,39,M,Communist Party of Nepal (Maoist Centre),755,Elected
44,Rukum (East),Bhoome Rural Municipality,Ward Member,9,58,M,Communist Party of Nepal (Maoist Centre),811,Elected
45,Rukum (East),Bhoome Rural Municipality,Ward Member,9,36,M,Communist Party of Nepal (Maoist Centre),791,Elected
46,Rukum (East),Bhoome Rural Municipality,Female Ward Member,9,31,F,Communist Party of Nepal (Maoist Centre),794,Elected
47,Rukum (East),Bhoome Rural Municipality,Dalit Female Ward Member,9,62,F,Communist Party of Nepal (Maoist Centre),799,Elected
1,Rukum (East),Sisne Rural Municipality,Mayor,  ,34,F,Communist Party of Nepal (Maoist Centre),3296,Elected
2,Rukum (East),Sisne Rural Municipality,Vice-Mayor,  ,41,M,Communist Party of Nepal (Maoist Centre),3326,Elected
3,Rukum (East),Sisne Rural Municipality,Ward President,1,33,M,Communist Party of Nepal (Maoist Centre),347,Elected
