SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
890,Province 2,Saptari,Hanuman,Ward Member,6,65,M,"Rastriya Janata Party, Nepal",518,Elected
891,Province 2,Saptari,Hanuman,Female Ward Member,6,53,F,"Rastriya Janata Party, Nepal",560,Elected
892,Province 2,Saptari,Hanuman,Dalit Female Ward Member,6,49,F,"Rastriya Janata Party, Nepal",567,Elected
893,Province 2,Saptari,Hanuman,Ward President,7,57,M,"Rastriya Janata Party, Nepal",330,Elected
894,Province 2,Saptari,Hanuman,Ward Member,7,37,M,"Rastriya Janata Party, Nepal",394,Elected
895,Province 2,Saptari,Hanuman,Ward Member,7,67,M,"Rastriya Janata Party, Nepal",374,Elected
896,Province 2,Saptari,Hanuman,Female Ward Member,7,34,F,"Rastriya Janata Party, Nepal",387,Elected
897,Province 2,Saptari,Hanuman,Dalit Female Ward Member,7,42,F,"Rastriya Janata Party, Nepal",397,Elected
898,Province 2,Saptari,Hanuman,Ward President,8,53,M,Rastriya Prajatantra Party,454,Elected
899,Province 2,Saptari,Hanuman,Ward Member,8,53,M,Rastriya Prajatantra Party,410,Elected
900,Province 2,Saptari,Hanuman,Ward Member,8,43,M,"Rastriya Janata Party, Nepal",394,Elected
901,Province 2,Saptari,Hanuman,Female Ward Member,8,45,F,Rastriya Prajatantra Party,406,Elected
902,Province 2,Saptari,Hanuman,Dalit Female Ward Member,8,50,F,Rastriya Prajatantra Party,419,Elected
903,Province 2,Saptari,Hanuman,Ward President,9,71,M,"Rastriya Janata Party, Nepal",280,Elected
904,Province 2,Saptari,Hanuman,Ward Member,9,67,M,"Rastriya Janata Party, Nepal",314,Elected
905,Province 2,Saptari,Hanuman,Ward Member,9,56,M,"Rastriya Janata Party, Nepal",303,Elected
906,Province 2,Saptari,Hanuman,Female Ward Member,9,47,F,"Rastriya Janata Party, Nepal",329,Elected
907,Province 2,Saptari,Hanuman,Dalit Female Ward Member,9,65,F,"Rastriya Janata Party, Nepal",322,Elected
908,Province 2,Saptari,Hanuman,Ward President,10,42,M,Communist Party of Nepal (Maoist Centre),260,Elected
909,Province 2,Saptari,Hanuman,Ward Member,10,50,M,Communist Party of Nepal (Maoist Centre),251,Elected
910,Province 2,Saptari,Hanuman,Ward Member,10,61,M,Communist Party of Nepal (Maoist Centre),217,Elected
911,Province 2,Saptari,Hanuman,Female Ward Member,10,25,F,Communist Party of Nepal (Maoist Centre),249,Elected
912,Province 2,Saptari,Hanuman,Dalit Female Ward Member,10,39,F,Communist Party of Nepal (Maoist Centre),258,Elected
913,Province 2,Saptari,Hanuman,Ward President,11,56,M,"Rastriya Janata Party, Nepal",343,Elected
914,Province 2,Saptari,Hanuman,Ward Member,11,52,M,"Rastriya Janata Party, Nepal",352,Elected
915,Province 2,Saptari,Hanuman,Ward Member,11,43,M,"Rastriya Janata Party, Nepal",334,Elected
916,Province 2,Saptari,Hanuman,Female Ward Member,11,49,F,"Rastriya Janata Party, Nepal",337,Elected
917,Province 2,Saptari,Hanuman,Dalit Female Ward Member,11,56,F,"Rastriya Janata Party, Nepal",349,Elected
918,Province 2,Saptari,Hanuman,Ward President,12,50,M,Rastriya Prajatantra Party,364,Elected
919,Province 2,Saptari,Hanuman,Ward Member,12,53,M,Rastriya Prajatantra Party,380,Elected
920,Province 2,Saptari,Hanuman,Ward Member,12,34,M,Rastriya Prajatantra Party,376,Elected
921,Province 2,Saptari,Hanuman,Female Ward Member,12,38,F,Rastriya Prajatantra Party,385,Elected
922,Province 2,Saptari,Hanuman,Dalit Female Ward Member,12,60,F,Rastriya Prajatantra Party,388,Elected
923,Province 2,Saptari,Hanuman,Ward President,13,67,M,Sanghiya Samajbadi Forum-Nepal (SSFN),130,Elected
924,Province 2,Saptari,Hanuman,Ward Member,13,25,M,"Rastriya Janata Party, Nepal",133,Elected
925,Province 2,Saptari,Hanuman,Ward Member,13,46,M,Sanghiya Samajbadi Forum-Nepal (SSFN),124,Elected
926,Province 2,Saptari,Hanuman,Female Ward Member,13,50,F,"Rastriya Janata Party, Nepal",128,Elected
927,Province 2,Saptari,Hanuman,Dalit Female Ward Member,13,48,F,"Rastriya Janata Party, Nepal",128,Elected
928,Province 2,Saptari,Hanuman,Ward President,14,62,M,"Rastriya Janata Party, Nepal",971,Elected
929,Province 2,Saptari,Hanuman,Ward Member,14,67,M,"Rastriya Janata Party, Nepal",875,Elected
930,Province 2,Saptari,Hanuman,Ward Member,14,29,M,"Rastriya Janata Party, Nepal",857,Elected
931,Province 2,Saptari,Hanuman,Female Ward Member,14,56,F,"Rastriya Janata Party, Nepal",912,Elected
932,Province 2,Saptari,Hanuman,Dalit Female Ward Member,14,54,F,"Rastriya Janata Party, Nepal",893,Elected
933,Province 2,Siraha,Arnama Rural Municipality,Mayor,,69,M,Communist Party of Nepal (Maoist Centre),"2,436",Elected
934,Province 2,Siraha,Arnama Rural Municipality,Vice-Mayor,,43,F,Communist Party of Nepal (Maoist Centre),"2,299",Elected
935,Province 2,Siraha,Arnama Rural Municipality,Ward President,1,51,M,Communist Party of Nepal (Maoist Centre),724,Elected
936,Province 2,Siraha,Arnama Rural Municipality,Ward Member,1,30,M,Communist Party of Nepal (Maoist Centre),715,Elected
937,Province 2,Siraha,Arnama Rural Municipality,Ward Member,1,45,M,Communist Party of Nepal (Maoist Centre),702,Elected
938,Province 2,Siraha,Arnama Rural Municipality,Female Ward Member,1,32,F,Communist Party of Nepal (Maoist Centre),705,Elected
939,Province 2,Siraha,Arnama Rural Municipality,Dalit Female Ward Member,1,45,F,Communist Party of Nepal (Maoist Centre),715,Elected
940,Province 2,Siraha,Arnama Rural Municipality,Ward President,2,44,M,Communist Party of Nepal (Maoist Centre),523,Elected
941,Province 2,Siraha,Arnama Rural Municipality,Ward Member,2,51,M,Communist Party of Nepal (Maoist Centre),514,Elected
942,Province 2,Siraha,Arnama Rural Municipality,Ward Member,2,50,M,Communist Party of Nepal (Maoist Centre),511,Elected
943,Province 2,Siraha,Arnama Rural Municipality,Female Ward Member,2,32,F,Communist Party of Nepal (Maoist Centre),523,Elected
944,Province 2,Siraha,Arnama Rural Municipality,Dalit Female Ward Member,2,59,F,Communist Party of Nepal (Maoist Centre),530,Elected
945,Province 2,Siraha,Arnama Rural Municipality,Ward President,3,51,M,Sanghiya Samajbadi Forum-Nepal (SSFN),922,Elected
946,Province 2,Siraha,Arnama Rural Municipality,Ward Member,3,25,M,Sanghiya Samajbadi Forum-Nepal (SSFN),908,Elected
947,Province 2,Siraha,Arnama Rural Municipality,Ward Member,3,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),896,Elected
948,Province 2,Siraha,Arnama Rural Municipality,Female Ward Member,3,37,F,Sanghiya Samajbadi Forum-Nepal (SSFN),936,Elected
949,Province 2,Siraha,Arnama Rural Municipality,Dalit Female Ward Member,3,47,F,Sanghiya Samajbadi Forum-Nepal (SSFN),928,Elected
950,Province 2,Siraha,Arnama Rural Municipality,Ward President,4,44,M,Communist Party of Nepal (UML),549,Elected
951,Province 2,Siraha,Arnama Rural Municipality,Ward Member,4,54,M,Communist Party of Nepal (UML),541,Elected
952,Province 2,Siraha,Arnama Rural Municipality,Ward Member,4,48,M,Communist Party of Nepal (UML),531,Elected
953,Province 2,Siraha,Arnama Rural Municipality,Female Ward Member,4,43,F,Communist Party of Nepal (UML),575,Elected
954,Province 2,Siraha,Arnama Rural Municipality,Dalit Female Ward Member,4,30,F,Communist Party of Nepal (UML),542,Elected
955,Province 2,Siraha,Arnama Rural Municipality,Ward President,5,65,M,Nepali Congress,475,Elected
956,Province 2,Siraha,Arnama Rural Municipality,Ward Member,5,38,M,Nepali Congress,487,Elected
957,Province 2,Siraha,Arnama Rural Municipality,Ward Member,5,35,M,Sanghiya Samajbadi Forum-Nepal (SSFN),473,Elected
958,Province 2,Siraha,Arnama Rural Municipality,Female Ward Member,5,37,F,Nepali Congress,476,Elected
959,Province 2,Siraha,Arnama Rural Municipality,Dalit Female Ward Member,5,31,F,Nepali Congress,465,Elected
960,Province 2,Siraha,Aurahi Rural Municipality,Mayor,,36,M,Communist Party of Nepal (Maoist Centre),"2,658",Elected
961,Province 2,Siraha,Aurahi Rural Municipality,Vice-Mayor,,37,F,Sanghiya Samajbadi Forum-Nepal (SSFN),"2,632",Elected
962,Province 2,Siraha,Aurahi Rural Municipality,Ward President,1,56,M,Sanghiya Samajbadi Forum-Nepal (SSFN),545,Elected
963,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,1,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),540,Elected
964,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,1,37,M,Sanghiya Samajbadi Forum-Nepal (SSFN),540,Elected
965,Province 2,Siraha,Aurahi Rural Municipality,Female Ward Member,1,25,F,Sanghiya Samajbadi Forum-Nepal (SSFN),550,Elected
966,Province 2,Siraha,Aurahi Rural Municipality,Dalit Female Ward Member,1,28,F,Sanghiya Samajbadi Forum-Nepal (SSFN),553,Elected
967,Province 2,Siraha,Aurahi Rural Municipality,Ward President,2,39,M,Nepali Congress,394,Elected
968,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,2,49,M,Nepali Congress,405,Elected
969,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,2,34,M,Communist Party of Nepal (UML),378,Elected
970,Province 2,Siraha,Aurahi Rural Municipality,Female Ward Member,2,27,F,Communist Party of Nepal (UML),367,Elected
971,Province 2,Siraha,Aurahi Rural Municipality,Dalit Female Ward Member,2,49,F,Nepali Congress,380,Elected
972,Province 2,Siraha,Aurahi Rural Municipality,Ward President,3,42,M,Communist Party of Nepal (Maoist Centre),799,Elected
973,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,3,32,M,Communist Party of Nepal (Maoist Centre),807,Elected
974,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,3,44,M,Communist Party of Nepal (Maoist Centre),790,Elected
975,Province 2,Siraha,Aurahi Rural Municipality,Female Ward Member,3,50,F,Communist Party of Nepal (Maoist Centre),815,Elected
976,Province 2,Siraha,Aurahi Rural Municipality,Dalit Female Ward Member,3,46,F,Sanghiya Samajbadi Forum-Nepal (SSFN),809,Elected
977,Province 2,Siraha,Aurahi Rural Municipality,Ward President,4,42,M,Sanghiya Samajbadi Forum-Nepal (SSFN),706,Elected
978,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,4,44,M,Sanghiya Samajbadi Forum-Nepal (SSFN),691,Elected
979,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,4,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),643,Elected
980,Province 2,Siraha,Aurahi Rural Municipality,Female Ward Member,4,40,F,Sanghiya Samajbadi Forum-Nepal (SSFN),728,Elected
981,Province 2,Siraha,Aurahi Rural Municipality,Dalit Female Ward Member,4,42,F,Sanghiya Samajbadi Forum-Nepal (SSFN),697,Elected
982,Province 2,Siraha,Aurahi Rural Municipality,Ward President,5,33,M,Communist Party of Nepal (Maoist Centre),561,Elected
983,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,5,57,M,Communist Party of Nepal (Maoist Centre),614,Elected
984,Province 2,Siraha,Aurahi Rural Municipality,Ward Member,5,30,M,Communist Party of Nepal (Maoist Centre),552,Elected
985,Province 2,Siraha,Aurahi Rural Municipality,Female Ward Member,5,48,F,Communist Party of Nepal (Maoist Centre),605,Elected
986,Province 2,Siraha,Aurahi Rural Municipality,Dalit Female Ward Member,5,64,F,Communist Party of Nepal (Maoist Centre),619,Elected
987,Province 2,Siraha,Karjanha Urban Municipality,Mayor,,34,M,Communist Party of Nepal (Maoist Centre),"4,309",Elected
988,Province 2,Siraha,Karjanha Urban Municipality,Vice Mayor,,51,F,Communist Party of Nepal (Maoist Centre),"4,313",Elected
989,Province 2,Siraha,Karjanha Urban Municipality,Ward President,1,50,M,Communist Party of Nepal (Maoist Centre),342,Elected
990,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,1,50,M,Communist Party of Nepal (Maoist Centre),301,Elected
991,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,1,55,M,Communist Party of Nepal (Maoist Centre),296,Elected
992,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,1,52,F,Communist Party of Nepal (Maoist Centre),310,Elected
993,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,1,37,F,Communist Party of Nepal (Maoist Centre),327,Elected
994,Province 2,Siraha,Karjanha Urban Municipality,Ward President,2,67,M,Communist Party of Nepal (UML),466,Elected
995,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,2,52,M,Communist Party of Nepal (UML),449,Elected
996,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,2,31,M,Communist Party of Nepal (UML),434,Elected
997,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,2,45,F,Communist Party of Nepal (UML),410,Elected
998,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,2,48,F,Communist Party of Nepal (UML),442,Elected
999,Province 2,Siraha,Karjanha Urban Municipality,Ward President,3,36,M,Communist Party of Nepal (Maoist Centre),377,Elected
1000,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,3,42,M,Communist Party of Nepal (UML),356,Elected
1001,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,3,32,M,Communist Party of Nepal (UML),346,Elected
1002,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,3,59,F,Communist Party of Nepal (UML),367,Elected
1003,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,3,50,F,Communist Party of Nepal (UML),355,Elected
1004,Province 2,Siraha,Karjanha Urban Municipality,Ward President,4,55,M,Communist Party of Nepal (Maoist Centre),531,Elected
1005,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,4,41,M,Communist Party of Nepal (Maoist Centre),552,Elected
1006,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,4,44,M,Communist Party of Nepal (Maoist Centre),550,Elected
1007,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,4,30,F,Communist Party of Nepal (Maoist Centre),555,Elected
1008,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,4,47,F,Communist Party of Nepal (Maoist Centre),554,Elected
1009,Province 2,Siraha,Karjanha Urban Municipality,Ward President,5,46,M,Communist Party of Nepal (Maoist Centre),484,Elected
1010,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,5,54,M,Communist Party of Nepal (Maoist Centre),460,Elected
1011,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,5,59,M,Communist Party of Nepal (Maoist Centre),448,Elected
1012,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,5,35,F,Communist Party of Nepal (Maoist Centre),469,Elected
1013,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,5,46,F,Communist Party of Nepal (Maoist Centre),465,Elected
1014,Province 2,Siraha,Karjanha Urban Municipality,Ward President,6,37,M,Communist Party of Nepal (UML),540,Elected
1015,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,6,40,M,Communist Party of Nepal (UML),548,Elected
1016,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,6,51,M,Communist Party of Nepal (UML),545,Elected
1017,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,6,55,F,Communist Party of Nepal (UML),548,Elected
1018,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,6,42,F,Communist Party of Nepal (UML),548,Elected
1019,Province 2,Siraha,Karjanha Urban Municipality,Ward President,7,40,M,Communist Party of Nepal (Maoist Centre),488,Elected
1020,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,7,48,M,Sanghiya Samajbadi Forum-Nepal (SSFN),490,Elected
1021,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,7,35,M,Communist Party of Nepal (Maoist Centre),480,Elected
1022,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,7,55,F,Communist Party of Nepal (Maoist Centre),490,Elected
1023,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,7,58,F,Communist Party of Nepal (Maoist Centre),500,Elected
1024,Province 2,Siraha,Karjanha Urban Municipality,Ward President,8,45,M,Communist Party of Nepal (Maoist Centre),431,Elected
1025,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,8,50,M,Communist Party of Nepal (Maoist Centre),440,Elected
1026,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,8,47,M,Communist Party of Nepal (Maoist Centre),422,Elected
1027,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,8,45,F,Communist Party of Nepal (Maoist Centre),439,Elected
1028,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,8,47,F,Communist Party of Nepal (Maoist Centre),445,Elected
1029,Province 2,Siraha,Karjanha Urban Municipality,Ward President,9,53,M,Communist Party of Nepal (Maoist Centre),372,Elected
1030,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,9,47,M,Communist Party of Nepal (Maoist Centre),403,Elected
1031,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,9,50,M,Communist Party of Nepal (Maoist Centre),391,Elected
1032,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,9,56,F,Communist Party of Nepal (Maoist Centre),408,Elected
1033,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,9,51,F,Communist Party of Nepal (Maoist Centre),409,Elected
1034,Province 2,Siraha,Karjanha Urban Municipality,Ward President,10,49,M,Communist Party of Nepal (Maoist Centre),334,Elected
1035,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,10,61,M,Communist Party of Nepal (Maoist Centre),329,Elected
1036,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,10,37,M,Communist Party of Nepal (Maoist Centre),316,Elected
1037,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,10,40,F,Communist Party of Nepal (Maoist Centre),325,Elected
1038,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,10,40,F,Communist Party of Nepal (Maoist Centre),329,Elected
1039,Province 2,Siraha,Karjanha Urban Municipality,Ward President,11,49,M,Communist Party of Nepal (Maoist Centre),308,Elected
1040,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,11,72,M,Communist Party of Nepal (Maoist Centre),323,Elected
1041,Province 2,Siraha,Karjanha Urban Municipality,Ward Member,11,51,M,Communist Party of Nepal (Maoist Centre),314,Elected
1042,Province 2,Siraha,Karjanha Urban Municipality,Female Ward Member,11,44,F,Communist Party of Nepal (Maoist Centre),326,Elected
1043,Province 2,Siraha,Karjanha Urban Municipality,Dalit Female Ward Member,11,38,F,Communist Party of Nepal (Maoist Centre),325,Elected
1044,Province 2,Siraha,Kalyanpur Municipality,Mayor,,65,M,Nepali Congress,"4,804",Elected
1045,Province 2,Siraha,Kalyanpur Municipality,Vice Mayor,,34,F,Nepali Congress,"4,664",Elected
1046,Province 2,Siraha,Kalyanpur Municipality,Ward President,1,37,M,"Rastriya Janata Party, Nepal",515,Elected
1047,Province 2,Siraha,Kalyanpur Municipality,Ward Member,1,45,M,"Rastriya Janata Party, Nepal",506,Elected
1048,Province 2,Siraha,Kalyanpur Municipality,Ward Member,1,62,M,"Rastriya Janata Party, Nepal",501,Elected
1049,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,1,46,F,"Rastriya Janata Party, Nepal",513,Elected
1050,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,1,46,F,"Rastriya Janata Party, Nepal",510,Elected
1051,Province 2,Siraha,Kalyanpur Municipality,Ward President,2,64,M,"Rastriya Janata Party, Nepal",512,Elected
1052,Province 2,Siraha,Kalyanpur Municipality,Ward Member,2,45,M,"Rastriya Janata Party, Nepal",514,Elected
1053,Province 2,Siraha,Kalyanpur Municipality,Ward Member,2,50,M,"Rastriya Janata Party, Nepal",509,Elected
1054,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,2,76,F,"Rastriya Janata Party, Nepal",514,Elected
1055,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,2,47,F,"Rastriya Janata Party, Nepal",514,Elected
1056,Province 2,Siraha,Kalyanpur Municipality,Ward President,3,39,M,"Rastriya Janata Party, Nepal",749,Elected
1057,Province 2,Siraha,Kalyanpur Municipality,Ward Member,3,63,M,"Rastriya Janata Party, Nepal",755,Elected
1058,Province 2,Siraha,Kalyanpur Municipality,Ward Member,3,31,M,"Rastriya Janata Party, Nepal",720,Elected
1059,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,3,29,F,"Rastriya Janata Party, Nepal",785,Elected
1060,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,3,38,F,"Rastriya Janata Party, Nepal",771,Elected
1061,Province 2,Siraha,Kalyanpur Municipality,Ward President,4,38,M,Nepali Congress,606,Elected
1062,Province 2,Siraha,Kalyanpur Municipality,Ward Member,4,35,M,Communist Party of Nepal (UML),516,Elected
1063,Province 2,Siraha,Kalyanpur Municipality,Ward Member,4,55,M,Nepali Congress,509,Elected
1064,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,4,45,F,Nepali Congress,545,Elected
1065,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,4,55,F,Communist Party of Nepal (UML),525,Elected
1066,Province 2,Siraha,Kalyanpur Municipality,Ward President,5,38,M,Sanghiya Samajbadi Forum-Nepal (SSFN),534,Elected
1067,Province 2,Siraha,Kalyanpur Municipality,Ward Member,5,33,M,Sanghiya Samajbadi Forum-Nepal (SSFN),586,Elected
1068,Province 2,Siraha,Kalyanpur Municipality,Ward Member,5,54,M,Sanghiya Samajbadi Forum-Nepal (SSFN),553,Elected
1069,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,5,28,F,Sanghiya Samajbadi Forum-Nepal (SSFN),584,Elected
1070,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,5,37,F,Sanghiya Samajbadi Forum-Nepal (SSFN),585,Elected
1071,Province 2,Siraha,Kalyanpur Municipality,Ward President,6,36,M,Independent,219,Elected
1072,Province 2,Siraha,Kalyanpur Municipality,Ward Member,6,44,M,Sanghiya Samajbadi Forum-Nepal (SSFN),182,Elected
1073,Province 2,Siraha,Kalyanpur Municipality,Ward Member,6,54,M,Sanghiya Samajbadi Forum-Nepal (SSFN),180,Elected
1074,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,6,36,F,Sanghiya Samajbadi Forum-Nepal (SSFN),188,Elected
1075,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,6,27,F,Sanghiya Samajbadi Forum-Nepal (SSFN),181,Elected
1076,Province 2,Siraha,Kalyanpur Municipality,Ward President,7,46,M,Communist Party of Nepal (UML),726,Elected
1077,Province 2,Siraha,Kalyanpur Municipality,Ward Member,7,34,M,Communist Party of Nepal (UML),727,Elected
1078,Province 2,Siraha,Kalyanpur Municipality,Ward Member,7,39,M,Communist Party of Nepal (UML),708,Elected
1079,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,7,43,F,Communist Party of Nepal (UML),742,Elected
1080,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,7,38,F,Communist Party of Nepal (UML),733,Elected
1081,Province 2,Siraha,Kalyanpur Municipality,Ward President,8,60,M,Communist Party of Nepal (UML),598,Elected
1082,Province 2,Siraha,Kalyanpur Municipality,Ward Member,8,39,M,Communist Party of Nepal (UML),600,Elected
1083,Province 2,Siraha,Kalyanpur Municipality,Ward Member,8,29,M,Communist Party of Nepal (UML),582,Elected
1084,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,8,37,F,Communist Party of Nepal (UML),606,Elected
1085,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,8,45,F,Communist Party of Nepal (UML),598,Elected
1086,Province 2,Siraha,Kalyanpur Municipality,Ward President,9,44,M,Nepali Congress,527,Elected
1087,Province 2,Siraha,Kalyanpur Municipality,Ward Member,9,43,M,Nepali Congress,514,Elected
1088,Province 2,Siraha,Kalyanpur Municipality,Ward Member,9,37,M,Nepali Congress,493,Elected
1089,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,9,44,F,Nepali Congress,512,Elected
1090,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,9,38,F,Nepali Congress,520,Elected
1091,Province 2,Siraha,Kalyanpur Municipality,Ward President,10,57,M,"Rastriya Janata Party, Nepal",563,Elected
1092,Province 2,Siraha,Kalyanpur Municipality,Ward Member,10,61,M,"Rastriya Janata Party, Nepal",591,Elected
1093,Province 2,Siraha,Kalyanpur Municipality,Ward Member,10,61,M,Nepali Congress,420,Elected
1094,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,10,51,F,"Rastriya Janata Party, Nepal",564,Elected
1095,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,10,38,F,"Rastriya Janata Party, Nepal",565,Elected
1096,Province 2,Siraha,Kalyanpur Municipality,Ward President,11,43,M,"Rastriya Janata Party, Nepal",443,Elected
1097,Province 2,Siraha,Kalyanpur Municipality,Ward Member,11,48,M,"Rastriya Janata Party, Nepal",419,Elected
1098,Province 2,Siraha,Kalyanpur Municipality,Ward Member,11,45,M,"Rastriya Janata Party, Nepal",382,Elected
1099,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,11,24,F,"Rastriya Janata Party, Nepal",439,Elected
1100,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,11,43,F,"Rastriya Janata Party, Nepal",441,Elected
1101,Province 2,Siraha,Kalyanpur Municipality,Ward President,12,68,M,Nepali Congress,622,Elected
1102,Province 2,Siraha,Kalyanpur Municipality,Ward Member,12,55,M,Nepali Congress,565,Elected
1103,Province 2,Siraha,Kalyanpur Municipality,Ward Member,12,66,M,Nepali Congress,494,Elected
1104,Province 2,Siraha,Kalyanpur Municipality,Female Ward Member,12,53,F,Nepali Congress,589,Elected
1105,Province 2,Siraha,Kalyanpur Municipality,Dalit Female Ward Member,12,38,F,Nepali Congress,576,Elected
1106,Province 2,Siraha,Golbazar Urban Municipality,Mayor,,66,M,Communist Party of Nepal (Maoist Centre),"6,443",Elected
1107,Province 2,Siraha,Golbazar Urban Municipality,Vice Mayor,,52,F,Communist Party of Nepal (Maoist Centre),"6,349",Elected
1108,Province 2,Siraha,Golbazar Urban Municipality,Ward President,1,64,M,Communist Party of Nepal (Maoist Centre),527,Elected
1109,Province 2,Siraha,Golbazar Urban Municipality,Ward Member,1,31,M,Communist Party of Nepal (Maoist Centre),527,Elected
1110,Province 2,Siraha,Golbazar Urban Municipality,Ward Member,1,44,M,Communist Party of Nepal (Maoist Centre),486,Elected
1111,Province 2,Siraha,Golbazar Urban Municipality,Female Ward Member,1,44,F,Communist Party of Nepal (Maoist Centre),516,Elected
1112,Province 2,Siraha,Golbazar Urban Municipality,Dalit Female Ward Member,1,34,F,Communist Party of Nepal (Maoist Centre),514,Elected
1113,Province 2,Siraha,Golbazar Urban Municipality,Ward President,2,63,M,Communist Party of Nepal (Maoist Centre),764,Elected
1114,Province 2,Siraha,Golbazar Urban Municipality,Ward Member,2,45,M,Communist Party of Nepal (Maoist Centre),783,Elected
1115,Province 2,Siraha,Golbazar Urban Municipality,Ward Member,2,46,M,Communist Party of Nepal (Maoist Centre),759,Elected
1116,Province 2,Siraha,Golbazar Urban Municipality,Female Ward Member,2,38,F,Communist Party of Nepal (Maoist Centre),786,Elected
1117,Province 2,Siraha,Golbazar Urban Municipality,Dalit Female Ward Member,2,44,F,Communist Party of Nepal (Maoist Centre),788,Elected
1118,Province 2,Siraha,Golbazar Urban Municipality,Ward President,3,44,M,Communist Party of Nepal (Maoist Centre),933,Elected
1119,Province 2,Siraha,Golbazar Urban Municipality,Ward Member,3,58,M,Communist Party of Nepal (Maoist Centre),903,Elected
